JOB_ID,DESIGNATION,COMBINED_LOCATIONS,CITY,STATE,COUNTRY,Company_ID,Detailed_id
3785191,Process Designer- MicroStation & AUTOCAD,"Kurla, Maharashtra, India",Kurla, Maharashtra, India,11107192,578191
3785192,Data Analyst-2-India,"Gurgaon, Haryana, India",Gurgaon, Haryana, India,11107193,578192
3785193,Data Collection | English Language in India (Work from Home),"Maharashtra, India",Maharashtra, India,,11107194,578193
3785194,Analyst - Analytics & Reporting - HYD,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107195,578194
3785195,"Machine Learning Engineer - Part-Time, Bloom Institute of Technology (BloomTech) (Remote) - $30,000/year USD","Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107196,578195
3785196,Technical Analyst Reporting Analyst,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107197,578196
3785197,Project Analyst,"Gurgaon, Haryana, India",Gurgaon, Haryana, India,11107198,578197
3785198,Centre of Excellence - Fraud Analytics,"Pune, Maharashtra, India",Pune, Maharashtra, India,11107199,578198
3785199,Process Technician,"Bengaluru East, Karnataka, India",Bengaluru East, Karnataka, India,11107200,578199
3785200,"Industry Process Consultant, 3DEXPERIENCEWORKS","Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107201,578200
3785201,Trainee - Document Controller,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107202,578201
3785202,Process Engineer -Technical Services,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107203,578202
3785203,Search Engine Evaluator,"Lucknow, Uttar Pradesh, India",Lucknow, Uttar Pradesh, India,11107204,578203
3785204,Associate,"Gurugram, Haryana, India",Gurugram, Haryana, India,11107205,578204
3785205,Business Operations New Associate,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107206,578205
3785206,"Assistant Manager, Customer Analytics","Pune, Maharashtra, India",Pune, Maharashtra, India,11107207,578206
3785207,Python training and internship program,India,India,,,11107208,578207
3785208,Analyst Consultant,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107209,578208
3785209,Assistant Supervisor,India,India,,,11107210,578209
